tipo,lat,lng
Novo mobiliário,-25.43127081,-49.25411344,
Sem demarcação,-25.38413899,-49.25520691,
Chapéu chinês,-25.4642493,-49.28374428,
Chapéu chinês,-25.48778635,-49.28389549,
Placa em cano,-25.40443,-49.29136,
Chapéu chinês,-25.52092127,-49.24809988,
Chapéu chinês,-25.55672869,-49.26752865,
Novo mobiliário,-25.44992205,-49.24567166,
Chapéu chinês,-25.46533544,-49.23613775,
Estação tubo,-25.49946309,-49.29606073,
Sem demarcação,-25.40761193,-49.3098073,
Novo mobiliário,-25.39970675,-49.2534837,
Novo mobiliário,-25.36159939,-49.26301755,
Domus,-25.51074238,-49.30444377,
Chapéu chinês,-25.38603517,-49.32183567,
Chapéu chinês,-25.53471523,-49.33127636,
Chapéu chinês,-25.38009088,-49.36382431,
Chapéu chinês,-25.3744044,-49.28117874,
Placa em cano,-25.55518451,-49.25554517,
Especial Madrugueiro,-25.4355504,-49.25038934,
Chapéu chinês,-25.42387482,-49.29886506,
Novo mobiliário,-25.40501352,-49.32716924,
Novo mobiliário,-25.40926425,-49.22414574,
Novo mobiliário,-25.44276261,-49.25753641,
Plataforma,-25.4417118,-49.34666717,
Estação tubo,-25.44182898,-49.23075138,
Chapéu chinês,-25.50368978,-49.32098407,
Chapéu chinês,-25.46169128,-49.33028279,
Chapéu chinês,-25.36524436,-49.20561925,
Chapéu chinês,-25.40779122,-49.31307155,
Novo mobiliário,-25.49235648,-49.21471629,
Novo mobiliário,-25.51957,-49.25534,
Chapéu chinês,-25.41909419,-49.36291236,
Novo mobiliário,-25.4551,-49.23077,
Chapéu chinês,-25.37870963,-49.25461079,
Sem demarcação,-25.53068399,-49.33861918,
Plataforma,-25.40660962,-49.25256269,
Novo mobiliário,-25.42572755,-49.25504781,
Novo mobiliário,-25.42312335,-49.30586682,
Placa em poste,-25.57320427,-49.32746682,
Sem demarcação,-25.38619268,-49.36273667,
Chapéu chinês,-25.49109879,-49.21347694,
Chapéu chinês,-25.47124647,-49.27581298,
Domus,-25.49421948,-49.30620467,
Novo mobiliário,-25.41610988,-49.22412855,
Placa em cano,-25.49874625,-49.35225016,
Sem demarcação,-25.56308917,-49.2668477,
Novo mobiliário,-25.45106762,-49.35693237,
Novo mobiliário,-25.43345179,-49.27215916,
Novo mobiliário,-25.41407197,-49.26360223,
Chapéu chinês,-25.41815,-49.34187,
Estação tubo,-25.46460651,-49.29130191,
Sem demarcação,-25.41314668,-49.2077345,
Novo mobiliário,-25.49700365,-49.32566586,
Domus,-25.55410562,-49.32586402,
Sem demarcação,-25.40567857,-49.20945782,
Chapéu chinês,-25.46545304,-49.27037988,
Chapéu chinês,-25.40974521,-49.21944368,
Novo mobiliário,-25.46880929,-49.3435814,
Chapéu chinês,-25.41957265,-49.20045498,
Chapéu chinês,-25.39351898,-49.34177341,
Chapéu chinês,-25.42172479,-49.33298609,
Estação tubo,-25.42827531,-49.27206996,
Chapéu chinês,-25.3883432,-49.32835432,
Novo mobiliário,-25.39290744,-49.29591456,
Chapéu chinês,-25.3971608,-49.29619939,
Chapéu chinês,-25.39496318,-49.35607273,
Novo mobiliário,-25.477267,-49.32417003,
Sem demarcação,-25.49064294,-49.31121204,
Placa em cano,-25.42691,-49.33326,
Novo mobiliário,-25.43678897,-49.30606233,
Novo mobiliário,-25.44066,-49.20699,
Plataforma,-25.40633584,-49.25246345,
Domus,-25.54769918,-49.27084414,
Novo mobiliário,-25.43562692,-49.27161551,
Placa em cano,-25.39695727,-49.29574207,
Placa em poste,-25.36816619,-49.32615017,
Chapéu chinês,-25.37122115,-49.26752898,
Estação tubo,-25.42723712,-49.26480166,
Novo mobiliário,-25.4326823,-49.2865445,
Sem demarcação,-25.56629396,-49.26382083,
Chapéu chinês,-25.50785363,-49.26742872,
Novo mobiliário,-25.55044584,-49.29276723,
Domus,-25.60697962,-49.33130655,
Chapéu chinês,-25.47423016,-49.33130606,
Placa em poste,-25.4744307,-49.37497291,
Chapéu chinês,-25.4869635,-49.3440025,
Chapéu chinês,-25.37489763,-49.24948509,
Chapéu chinês,-25.43671,-49.34081,
Estação tubo,-25.44814904,-49.25798636,
Novo mobiliário,-25.44593024,-49.24599977,
Estação tubo,-25.53581083,-49.27446656,
Sem demarcação,-25.55185199,-49.27619386,
Estação tubo,-25.53564164,-49.28469987,
Placa em cano,-25.37035596,-49.28459722,
Sem demarcação,-25.39857223,-49.28336631,
Domus,-25.47905,-49.20306,
Novo mobiliário,-25.38741973,-49.25979215,
Placa em poste,-25.57836103,-49.33344695,
Estação tubo,-25.4810211,-49.29261829,
Novo mobiliário,-25.3999412,-49.33643627,
Novo mobiliário,-25.47914731,-49.25681859,
Domus,-25.40806862,-49.3040258,
Domus,-25.3681893,-49.27344996,
Chapéu chinês,-25.44382441,-49.23123896,
Sem demarcação,-25.50396302,-49.26083366,
Novo mobiliário,-25.495373,-49.29250685,
Chapéu chinês,-25.4107894,-49.34025574,
Domus,-25.37064678,-49.23422399,
Estação tubo,-25.44962586,-49.35385621,
Novo mobiliário,-25.39087533,-49.28313532,
Chapéu chinês,-25.41178998,-49.32858276,
Sem demarcação,-25.5605977,-49.25679259,
Novo mobiliário,-25.51599633,-49.2472824,
Novo mobiliário,-25.43026284,-49.2137574,
Sem demarcação,-25.47628248,-49.22135408,
Placa em cano,-25.53807559,-49.25413907,
Novo mobiliário,-25.46886031,-49.28219907,
Domus,-25.48778635,-49.28406984,
Domus,-25.45984699,-49.20381061,
Chapéu chinês,-25.46554071,-49.19245292,
Chapéu chinês,-25.36962365,-49.20986414,
Novo mobiliário,-25.43528902,-49.27177778,
Chapéu chinês,-25.50279181,-49.35427666,
Domus,-25.53474156,-49.33275989,
Novo mobiliário,-25.40127496,-49.33459582,
Sem demarcação,-25.45843726,-49.24576151,
Chapéu chinês,-25.54929,-49.25715,
Novo mobiliário,-25.41469476,-49.33988828,
Novo mobiliário,-25.41811975,-49.34685781,
Chapéu chinês,-25.39238014,-49.33810415,
Estação tubo,-25.52544103,-49.23090614,
Sem demarcação,-25.37617929,-49.3141669,
Novo mobiliário,-25.49451364,-49.32489473,
Novo mobiliário,-25.46779215,-49.23221234,
Sem demarcação,-25.4792211,-49.28590614,
Chapéu chinês,-25.47739752,-49.23336577,
Novo mobiliário,-25.44982029,-49.27221541,
Chapéu chinês,-25.45806101,-49.31402273,
Plataforma,-25.41296,-49.20538,
Sem demarcação,-25.49592265,-49.26302509,
Placa em cano,-25.52423,-49.23886,
Novo mobiliário,-25.42289845,-49.31422536,
Especial Madrugueiro,-25.43570663,-49.25715521,
Placa em cano,-25.52208837,-49.26357465,
Novo mobiliário,-25.41078457,-49.32036582,
Novo mobiliário,-25.41142052,-49.22511521,
Placa em poste,-25.46270184,-49.37167648,
Novo mobiliário,-25.40108366,-49.20658146,
Novo mobiliário,-25.41146507,-49.23797205,
Chapéu chinês,-25.53686,-49.27271,
Novo mobiliário,-25.54151969,-49.29441545,
Estação tubo,-25.430357,-49.21120136,
Chapéu chinês,-25.53493324,-49.29430682,
Chapéu chinês,-25.48166115,-49.20155613,
Placa em poste,-25.5278,-49.23614,
Plataforma,-25.50147938,-49.23759258,
Chapéu chinês,-25.5707701,-49.33183226,
Novo mobiliário,-25.47924744,-49.24670254,
Placa em cano,-25.46334822,-49.34584379,
Novo mobiliário,-25.4294524,-49.24059022,
Concreto,-25.43100398,-49.31683096,
Novo mobiliário,-25.46516722,-49.34506734,
Novo mobiliário,-25.48387004,-49.24939414,
Novo mobiliário,-25.47975654,-49.32410348,
Chapéu chinês,-25.3826717,-49.25834242,
Novo mobiliário,-25.43661276,-49.27302903,
Novo mobiliário,-25.45915483,-49.30228542,
Placa em poste,-25.42745764,-49.27451512,
Chapéu chinês,-25.42967785,-49.35405839,
Sem demarcação,-25.40091637,-49.35038867,
Domus,-25.53470816,-49.31748915,
Novo mobiliário,-25.3639409,-49.26232647,
Plataforma,-25.49238689,-49.29301101,
Novo mobiliário,-25.43559664,-49.29719153,
Novo mobiliário,-25.45971,-49.23291,
Novo mobiliário,-25.49013743,-49.28912399,
Chapéu chinês,-25.52784252,-49.33623335,
Sem demarcação,-25.43777176,-49.35915094,
Sem demarcação,-25.43130539,-49.27868798,
Domus,-25.3826,-49.21063,
Sem demarcação,-25.48513,-49.19865,
Sem demarcação,-25.35507316,-49.23408017,
Estação tubo,-25.43811072,-49.23865224,
Chapéu chinês,-25.39917676,-49.3219966,
Placa em cano,-25.39939,-49.25309,
Chapéu chinês,-25.49926884,-49.21909146,
Chapéu chinês,-25.36442565,-49.21391808,
Chapéu chinês,-25.40307032,-49.3620375,
Chapéu chinês,-25.36655217,-49.27246156,
Novo mobiliário,-25.51414006,-49.2747205,
Chapéu chinês,-25.52782557,-49.31423521,
Plataforma,-25.53444523,-49.26832015,
Novo mobiliário,-25.41197,-49.27903,
Placa em poste,-25.47862031,-49.23228752,
Novo mobiliário,-25.50110792,-49.32735968,
Chapéu chinês,-25.37787224,-49.33383005,
Domus,-25.53831,-49.33002,
Chapéu chinês,-25.47306501,-49.31032229,
Novo mobiliário,-25.48411613,-49.21340049,
Novo mobiliário,-25.48436133,-49.32145304,
Novo mobiliário,-25.41556206,-49.34218559,
Novo mobiliário,-25.41364092,-49.31304205,
Sem demarcação,-25.36495985,-49.24146193,
Chapéu chinês,-25.4593222,-49.3289262,
Chapéu chinês,-25.54125644,-49.25520244,
Chapéu chinês,-25.49984585,-49.3349691,
Sem demarcação,-25.49449306,-49.34552896,
Novo mobiliário,-25.47098,-49.23874,
Placa em poste,-25.43571996,-49.25060391,
Domus,-25.54180288,-49.25139201,
Estação tubo,-25.4604587,-49.21185522,
Plataforma,-25.47729542,-49.32706,
Chapéu chinês,-25.55812,-49.25124,
Novo mobiliário,-25.45749156,-49.24017984,
Chapéu chinês,-25.41728,-49.21294,
Chapéu chinês,-25.56957396,-49.315218,
Novo mobiliário,-25.38763452,-49.30108798,
Chapéu chinês,-25.49533316,-49.30975726,
Domus,-25.54150831,-49.27935546,
Chapéu chinês,-25.43924197,-49.24556437,
